Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,2755.7,наличный,Витебск,Беларусбанк-DVBJ-856,23-08-2018,22:00:10,недостаточно средств,нет,0.0
физ. лицо,списание средств,3175.44,безналичный,Гродно,Приорбанк-QYVZ-854,25-04-2000,11:15:02,недостаточно средств,да,118.91
юр. лицо,списание средств,4283.33,наличный,Гродно,БелАгропромбанк-OQNA-831,10-10-2017,11:50:18,недостаточно средств,да,211.99
физ. лицо,списание средств,2981.58,наличный,Гомель,МаксБанк-OVYO-642,27-07-2005,10:04:57,недостаточно средств,нет,0.0
физ. лицо,списание средств,4499.15,наличный,Брест,Приорбанк-JIGS-195,16-07-2005,09:34:40,недостаточно средств,да,196.34
физ. лицо,списание средств,595.02,наличный,Минск,БелАгропромбанк-RUQJ-659,14-09-2020,03:17:46,недостаточно средств,нет,0.0
физ. лицо,списание средств,4604.99,безналичный,Могилев,Беларусбанк-TLTP-538,25-08-2023,10:20:44,недостаточно средств,нет,0.0
юр. лицо,списание средств,2221.97,наличный,Брест,Приорбанк-DEPH-721,19-05-2005,12:01:30,недостаточно средств,нет,0.0
юр. лицо,списание средств,4191.35,наличный,Гомель,Белинвестбанк-JSPR-063,09-09-2009,11:14:13,недостаточно средств,нет,0.0
юр. лицо,списание средств,1632.24,наличный,Брест,Белинвестбанк-RVTM-975,11-06-2023,12:31:05,недостаточно средств,да,114.02
юр. лицо,списание средств,4899.68,наличный,Могилев,МаксБанк-PQNT-843,22-11-2020,16:56:58,недостаточно средств,нет,0.0
физ. лицо,списание средств,4470.47,безналичный,Витебск,Приорбанк-CYTH-682,12-08-2023,17:57:15,недостаточно средств,нет,0.0
юр. лицо,списание средств,3894.3,наличный,Могилев,МаксБанк-FFYN-035,27-01-2018,02:03:44,недостаточно средств,нет,0.0
юр. лицо,списание средств,2953.08,безналичный,Гомель,БелАгропромбанк-CRPF-595,30-08-2007,22:57:13,недостаточно средств,да,181.08
юр. лицо,списание средств,2947.05,наличный,Витебск,БелАгропромбанк-DUBS-269,05-10-2024,06:10:24,недостаточно средств,нет,0.0
физ. лицо,списание средств,3508.52,наличный,Брест,Приорбанк-QHYV-838,18-12-2000,10:57:05,недостаточно средств,нет,0.0
юр. лицо,списание средств,2278.75,наличный,Витебск,БелАгропромбанк-GUSS-343,16-03-2004,02:49:37,недостаточно средств,нет,0.0
юр. лицо,списание средств,4747.47,безналичный,Гомель,БелАгропромбанк-KCCZ-970,26-06-2014,09:58:55,недостаточно средств,нет,0.0
физ. лицо,списание средств,179.81,безналичный,Брест,Приорбанк-LSAY-218,22-07-2000,05:34:06,недостаточно средств,да,2.04
юр. лицо,списание средств,556.32,безналичный,Брест,Белинвестбанк-OIGB-486,01-05-2001,12:36:53,недостаточно средств,да,10.45
физ. лицо,списание средств,3522.98,безналичный,Гомель,БелАгропромбанк-IGWA-972,31-05-2014,23:20:20,недостаточно средств,нет,0.0
юр. лицо,списание средств,17.96,наличный,Гомель,БелАгропромбанк-QPUD-639,05-12-2007,17:12:22,недостаточно средств,да,0.94
юр. лицо,списание средств,2561.11,наличный,Могилев,МаксБанк-TLFR-293,03-12-2016,18:47:39,недостаточно средств,да,186.85
физ. лицо,списание средств,2368.86,наличный,Могилев,БелАгропромбанк-UHNX-233,11-02-2005,19:11:33,недостаточно средств,нет,0.0
юр. лицо,списание средств,3409.62,наличный,Брест,БелАгропромбанк-JVUW-566,28-07-2010,10:55:57,недостаточно средств,да,74.97
юр. лицо,списание средств,4764.91,безналичный,Могилев,Приорбанк-KCDM-771,16-02-2021,03:55:22,недостаточно средств,да,113.18
