Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,2794.91,безналичный,Могилев,БелАгропромбанк-EWIW-047,01-09-2006,18:43:10,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3636.88,безналичный,Могилев,МаксБанк-AWRW-061,13-04-2021,14:59:21,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4230.52,наличный,Могилев,Беларусбанк-LVBY-693,03-04-2013,09:49:17,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3742.17,безналичный,Витебск,Белинвестбанк-GPYK-269,04-02-2018,18:56:15,неправильный ввод пин-кода,да,310.9
юр. лицо,списание средств,482.59,безналичный,Гомель,БелАгропромбанк-BYHU-527,30-08-2001,22:24:52,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,769.8,наличный,Гродно,Приорбанк-YTHX-024,22-03-2007,01:15:17,неправильный ввод пин-кода,да,67.75
физ. лицо,списание средств,2483.18,наличный,Брест,БелАгропромбанк-TOWS-263,30-05-2024,23:51:12,неправильный ввод пин-кода,да,202.6
физ. лицо,списание средств,3882.09,безналичный,Брест,БелАгропромбанк-FFPY-459,20-12-2015,19:11:50,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,59.96,безналичный,Гомель,Белинвестбанк-XYAQ-686,29-10-2005,13:08:32,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1011.18,безналичный,Брест,Беларусбанк-JVZI-656,16-05-2023,08:27:26,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1830.23,безналичный,Гродно,БелАгропромбанк-TVPX-918,07-01-2016,18:15:08,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1282.42,безналичный,Витебск,Белинвестбанк-BDIK-819,08-03-2022,11:13:20,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2637.23,безналичный,Брест,БелАгропромбанк-MUVX-728,03-07-2000,02:23:55,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1923.55,безналичный,Гомель,Приорбанк-UGLJ-253,08-11-2022,20:17:12,неправильный ввод пин-кода,да,143.47
физ. лицо,списание средств,1903.85,безналичный,Могилев,БелАгропромбанк-NNFT-577,03-03-2017,15:44:06,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1583.57,безналичный,Гомель,Белинвестбанк-TLBR-917,25-07-2009,10:50:37,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2902.24,безналичный,Гомель,МаксБанк-JNPC-725,10-06-2011,16:32:25,неправильный ввод пин-кода,да,198.97
юр. лицо,списание средств,574.65,безналичный,Витебск,МаксБанк-GCMM-440,11-01-2007,18:29:36,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2316.16,безналичный,Витебск,Белинвестбанк-YRFL-145,25-03-2009,15:36:53,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1893.77,наличный,Гродно,Беларусбанк-FTQX-224,11-06-2003,07:51:08,неправильный ввод пин-кода,да,43.48
юр. лицо,списание средств,3631.82,наличный,Брест,Приорбанк-ADDX-598,01-05-2016,04:12:08,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4461.89,безналичный,Гомель,БелАгропромбанк-TBIR-416,11-01-2000,04:42:15,неправильный ввод пин-кода,да,68.65
физ. лицо,списание средств,750.09,безналичный,Гродно,Беларусбанк-HUZE-644,29-07-2014,17:21:44,неправильный ввод пин-кода,нет,0.0
